condition_id,mission_type,study_doi,study_slug,person_days,events,notes,extracted_by,extracted_at_utc
dental-exposed-pulp,submarine,10.7205/milmed.173.supplement_1.29,gilkey-2012-deutsch-submarine-dental,2170720,21,"Deutsch 2008 via Gilkey 2012 Table 19: ICD-9 522 periapical/pulp abscess; 240 patrols 5946.9 PY; EF=1.48; rate=3.53e-3/py",subagent-proposal,2026-05-24T12:00:00Z
dental-exposed-pulp,iss,NA,gilkey-2012-LSAH-inflight,11649,0,"LSAH in-flight male astronauts 31.9 PY through ~2007; zero dental abscess events observed",subagent-proposal,2026-05-24T12:00:00Z
dental-filling-loss,iss,NA,gilkey-2012-LSAH-inflight,11649,0,"LSAH in-flight 31.9 PY; zero dental events of any type; filling loss not separately tracked in submarine data",subagent-proposal,2026-05-24T12:00:00Z
dental-crown-loss,iss,NA,gilkey-2012-LSAH-inflight,11649,0,"LSAH in-flight 31.9 PY; zero dental events of any type",subagent-proposal,2026-05-24T12:00:00Z
dental-avulsion-tooth-loss,iss,NA,gilkey-2012-LSAH-inflight,11649,0,"LSAH in-flight 31.9 PY; zero dental events of any type",subagent-proposal,2026-05-24T12:00:00Z
eye-corneal-ulcer,space,10.1038/s41526-023-00335-7,tran-2023-npj-ocular-complaints,16155,1,"EST: 135 STS (~8775 PD) + 63 ISS (~7380 PD) = 16155 PD; 1 corneal ulcer of 242 total ocular events",subagent-proposal,2026-05-24T12:00:00Z
eye-infection,space,10.1038/s41526-023-00279-y,meer-2023-npj-ocular-conditions,16155,5,"5 ocular infections in STS+ISS through Expedition 13; EST: same denominator as Tran 2023",subagent-proposal,2026-05-24T12:00:00Z
eye-penetration-foreign-body,space,10.1038/s41526-023-00335-7,tran-2023-npj-ocular-complaints,16155,55,"55 foreign body/sensation events = 22.7% of 242 ocular complaints; mostly surface particulate not penetrating",subagent-proposal,2026-05-24T12:00:00Z
retinal-detachment,terrestrial-population,10.1016/0002-9394(82)90013-7,haimann-1982-rochester-RRD,159929875,78,"EST: Rochester MN 1970-78; 437975 PY × 365 = 159.9M PD; 17.9/100k/yr; screened astronaut age-range would be lower",subagent-proposal,2026-05-24T12:00:00Z
otitis-media,iss,10.2147/IJGM.S114188,crucian-2016-ISS-clinical-symptoms,7058,6,"EST: 46 ISS missions 20.57 flight-years; ear-related 0.29/flight-year × 20.57 = ~6 events; includes all ear complaints",subagent-proposal,2026-05-24T12:00:00Z
acute-glaucoma,terrestrial-population,10.1136/bjo.85.9.1060,lai-2001-hong-kong-AACG,36500000,38,"EST: 100k persons × 365d = 36.5M PD; rate 10.4/100k/yr age ≥30 → ~38 events/yr; Asian rate higher than European 2-4/100k",subagent-proposal,2026-05-24T12:00:00Z
pharyngitis,iss,10.2147/IJGM.S114188,crucian-2016-ISS-clinical-symptoms,7058,1,"EST: 0.05/flight-year × 20.57 = ~1 pharyngitis event in ISS cohort; very low due to crew isolation",subagent-proposal,2026-05-24T12:00:00Z
shoulder-sprain-strain,space,NA,scheuring-2009-spaceflight-MSK,10085,69,"EST: shoulder = 31.4% of 219 MSK events; US space program ~10085 flight-days total; EVA suit HUT implicated",subagent-proposal,2026-05-24T12:00:00Z
knee-sprain-strain,terrestrial-population,NA,hauret-2012-US-army-knee,170478360,14499,"EST: US Army active duty 2000-2005; 467064 PY × 365d; rate 31/1000 PY → 14499 events; military training analog",subagent-proposal,2026-05-24T12:00:00Z
hypertension,terrestrial-population,10.1161/JAHA.117.007988,CARDIA-HTN-2018,36500000,1460,"EST: CARDIA cohort 10k persons × 10yr × 365d; 7.8% 10-yr cumulative in white men aged 25-55 → ~1460 events; screened healthy population",subagent-proposal,2026-05-24T12:00:00Z
cardiogenic-shock-secondary-to-myocardial-infarction,terrestrial-population,10.1002/ejhf.1566,helgestad-2019-denmark-CS,36500000,3,"EST: 100k × 365d; 9.2/100k/yr all-age; for screened 40-55 astronaut-age apply ~3 events; extremely rare",subagent-proposal,2026-05-24T12:00:00Z
hearing-loss,terrestrial-population,10.3357/asem.3660.2013,orsello-2013-military-aviator-SNHL,170478360,7380,"467064 PY US military aviators 1997-2011; SNHL rate 15.8/1000 PY fixed-wing; relevant: continuous noise exposure analog",subagent-proposal,2026-05-24T12:00:00Z
hemorrhoids,terrestrial-population,10.1111/codi.15376,xia-2020-NZ-hemorrhoids,36500000,44,"EST: NZ pop 2007-2016; hospital-diagnosed 120.5/100k/yr → ~44 events in 100k-person-year cohort; community rate 4-5%/yr much higher",subagent-proposal,2026-05-24T12:00:00Z
vaginal-yeast-infection,terrestrial-population,10.1016/S1473-3099(18)30103-8,denning-2018-global-RVVC,18250000,913,"EST: 50k women × 365d; rate ~0.5 episodes/py for healthy reproductive-age → 913 events; RVVC 3.87% have ≥4/yr",subagent-proposal,2026-05-24T12:00:00Z
abnormal-uterine-bleeding,terrestrial-population,NA,epidemiologic-consensus-AUB,18250000,1460,"EST: 50k women × 365d; ~8% annual incidence of new AUB episode requiring medical attention; menstrual suppression reduces to 1-3%",subagent-proposal,2026-05-24T12:00:00Z
barotrauma-ear-sinus-block,submarine,NA,toklu-2004-submarine-escape-BT,41183,1643,"Exposure-based: 41183 controlled ascents over 21 years; 1643 middle-ear BT events; rate 4.1% per pressure exposure; NOT person-days — pressure-exposure denominator",subagent-proposal,2026-05-24T12:00:00Z
