parameter_path,condition,model_component,current_value,source,denominator_person_time,extraction_quote,extractor,verifier,bias_note,transportability_note,prior_value_hash,priority,queue_block,status,notes
global_calibration.kind_multipliers.antarctic-station,mission-kind,mission-kind incidence multiplier map,depression=0.5; anxiety=1.5; interpersonal-conflict=2; respiratory-infection=0.2; gastroenteritis=0.1; skin-rash=0.33; late-insomnia=1.5; frostbite=5; altitude-sickness=4; hypoxia-related-headache=2; seasonal-affective-disorder=2; space/ECLSS conditions=0,research/evidence_extracted/antarctic_kind_multipliers.md,,,,,,requires source-by-source bias adjudication,analog transportability must be condition-specific,,P0,mission-kind multipliers,queued,Proposal-stage sensitivity map; default/adjudicated runs keep it off
global_calibration.kind_multipliers.analog-controlled,mission-kind,mission-kind incidence multiplier map,respiratory-infection=0.5; depression=0.5; interpersonal-conflict=1.5; frostbite=0; altitude-sickness=0; hypoxia-related-headache=0; seasonal-affective-disorder=0; space/ECLSS conditions=0,src/data/imm-priors.json global_calibration.kind_multipliers,,,,,,requires source-by-source bias adjudication,controlled-habitat transportability must be condition-specific,,P0,mission-kind multipliers,queued,Proposal-stage sensitivity map; default/adjudicated runs keep it off
conditions.acute-sinusitis.incidence.alpha,acute-sinusitis,incidence shape,alpha=2,demoted evidence_ledger row; M18_myers_2018_imm_validation,,,,Diego Malpica,,missing numerator denominator person-time quote fields,ISS/K15 reference does not establish analog transportability,d4735e3a265e16ee,P1,top incidence drivers,queued,Demoted from accepted on 2026-06-26 until schema-complete extraction exists
conditions.acute-sinusitis.incidence.beta,acute-sinusitis,incidence person-day rate denominator,beta=204,demoted evidence_ledger row; M18_myers_2018_imm_validation,,,,Diego Malpica,,missing numerator denominator person-time quote fields,ISS/K15 reference does not establish analog transportability,fc56dbc6d4652b31,P1,top incidence drivers,queued,Demoted from accepted on 2026-06-26 until schema-complete extraction exists
conditions.diarrhea.incidence.alpha,diarrhea,incidence shape,alpha=2,src/data/imm-priors.json; source_ref requires adjudication,,,,,,,community/ISS definition mismatch likely,analog transportability unresolved,,P1,top incidence drivers,queued,High TME/QTL sensitivity candidate; extract numerator and exposure before accepting
conditions.diarrhea.incidence.beta,diarrhea,incidence person-day rate denominator,beta=455,src/data/imm-priors.json; source_ref requires adjudication,,,,,,,community/ISS definition mismatch likely,analog transportability unresolved,,P1,top incidence drivers,queued,High TME/QTL sensitivity candidate; extract numerator and exposure before accepting
conditions.late-insomnia.incidence.alpha,late-insomnia,incidence shape,alpha=2,src/data/imm-priors.json; source_ref requires adjudication,,,,,,,sleep endpoint definitions vary across sources,analog transportability unresolved,,P1,top incidence drivers,queued,High behavioral incidence driver; separate sleep symptom incidence from impairment endpoint
conditions.late-insomnia.incidence.beta,late-insomnia,incidence person-day rate denominator,beta=3636,src/data/imm-priors.json; source_ref requires adjudication,,,,,,,sleep endpoint definitions vary across sources,analog transportability unresolved,,P1,top incidence drivers,queued,High behavioral incidence driver; separate sleep symptom incidence from impairment endpoint
conditions.behavioral-emergency.incidence.alpha,behavioral-emergency,incidence shape,alpha=2,demoted evidence_ledger row; S20_walton_kerstman_2020_iss_quantification,,,,Diego Malpica,,missing numerator denominator person-time quote fields,ISS/K15 reference does not establish analog transportability,d4735e3a265e16ee,P1,pEVAC/pLOCL drivers,queued,Demoted from accepted on 2026-06-26 until schema-complete extraction exists
conditions.behavioral-emergency.incidence.beta,behavioral-emergency,incidence person-day rate denominator,beta=400000,demoted evidence_ledger row; S20_walton_kerstman_2020_iss_quantification,,,,Diego Malpica,,missing numerator denominator person-time quote fields,ISS/K15 reference does not establish analog transportability,ad1e2e29fe1631dd,P1,pEVAC/pLOCL drivers,queued,Demoted from accepted on 2026-06-26 until schema-complete extraction exists
conditions.stroke-cerebrovascular-accident.untreated.p_locl.mode,stroke-cerebrovascular-accident,pLOCL untreated mode,mode=0.04,src/data/imm-priors.json; source_ref requires adjudication,,,,,,,terrestrial acute-care outcomes may not transport to mission support tiers,analog support-tier transportability unresolved,,P1,pEVAC/pLOCL drivers,queued,Outcome probability driver; requires treated/untreated endpoint definition and denominator
conditions.sudden-cardiac-arrest.untreated.p_locl.mode,sudden-cardiac-arrest,pLOCL untreated mode,mode=0.04,src/data/imm-priors.json; source_ref requires adjudication,,,,,,,terrestrial acute-care outcomes may not transport to mission support tiers,analog support-tier transportability unresolved,,P1,pEVAC/pLOCL drivers,queued,Outcome probability driver; requires treated/untreated endpoint definition and denominator
conditions.traumatic-hypovolemic-shock.untreated.p_locl.mode,traumatic-hypovolemic-shock,pLOCL untreated mode,mode=0.04,src/data/imm-priors.json; source_ref requires adjudication,,,,,,,trauma survival depends strongly on evacuation and provider capability,analog support-tier transportability unresolved,,P1,pEVAC/pLOCL drivers,queued,Outcome probability driver; requires treated/untreated endpoint definition and denominator
conditions.sepsis.untreated.p_locl.mode,sepsis,pLOCL untreated mode,mode=0.04,src/data/imm-priors.json; source_ref requires adjudication,,,,,,,terrestrial sepsis case mix may not transport to selected crews,analog support-tier transportability unresolved,,P1,pEVAC/pLOCL drivers,queued,Outcome probability driver; requires treated/untreated endpoint definition and denominator
