condition_id,mission_type,study_doi,study_slug,person_days,events,notes,extracted_by,extracted_at_utc
elbow-dislocation,general-pop,10.2106/JBJS.J.01963,stoneback_2012,EST:257644466309,36751,NEISS 2002-2006 weighted national estimate; rate 5.21 per 100k person-years (95% CI 4.74-5.68); 44.5% sports-related in patients >=10y; second most common adult dislocation; no ISS/analog dislocation data found—terrestrial proxy with upward selection bias from high-energy mechanisms in adolescent athletes,subagent-proposal,2026-05-25T00:00:00Z
elbow-dislocation,analog,NASA-TM-20210009779,nasa_mars_sim_2021,100000,5,IMM-class simulation SMM Mars ref mission (923d total/401d EVA); incidence 0.00005 per person-day; no observed in-flight elbow dislocations in Scheuring 2009 cohort (219 total musculoskeletal injuries)—model-predicted not observed; conservative for long-duration exploration with EVA,subagent-proposal,2026-05-25T00:00:00Z
finger-dislocation,general-pop,10.1177/1558944715627232,golan_2016,547591070444,166561,NEISS 2004-2008 explicit denominator 1.499B person-years; rate 11.11 per 100k py (95% CI 9.55-12.6); 78.7% male; 35.9% sports-related (basketball 25.6% football 21.5%); ages 15-19 highest risk (38.6/100k); Taiwan comparison 4.6/100k; no spaceflight analog data—general-pop proxy with known age/sex/activity selection bias,subagent-proposal,2026-05-25T00:00:00Z
finger-dislocation,analog,NASA-TM-20210009779,nasa_mars_sim_2021,100000,8,IMM-class simulation SMM Mars ref mission; incidence 0.00008 per person-day; hand injuries most common in-flight musculoskeletal injury (>70 of 219 in Scheuring 2009) but dislocations not enumerated—model treats as terrestrial-fixed extrapolated; accept for tierC,subagent-proposal,2026-05-25T00:00:00Z
shoulder-dislocation,general-pop,10.2106/JBJS.I.00450,zacchilli_2010,EST:13667489669,8940,NEISS 2002-2006 raw sample count used as observational unit; incidence 23.9 per 100k py (95% CI 20.8-27.0); 71.8% male; peak 20-29y (47.8/100k); 58.8% from falls; most common joint dislocation; shoulder injuries in astronauts well-documented (>20 in-flight in Scheuring 2009; 9.67 per 100 astronauts over 10y training-related) but dislocation-specific incidence unpublished—proxy carries moderate upward bias from sports/fall mechanisms,subagent-proposal,2026-05-25T00:00:00Z
shoulder-dislocation,analog,NASA-TM-20210009779,nasa_mars_sim_2021,100000,14,IMM-class simulation SMM Mars ref mission (923d/401d EVA); incidence 0.00014 per person-day; EVA training-associated shoulder injuries common (64% of 22 astronauts reported shoulder pain attributed to EVA training; 9.67 per 100 astronauts over 10y) but dislocations not isolated in published cohorts—simulated value likely conservative for exploration,subagent-proposal,2026-05-25T00:00:00Z
hip-proximal-femur-fracture,analog,NASA/HSRB-2021,sibonga_2022,137699,2,NASA LSAH hip fx. LD >90 days. 2 hip fx in 377 py (42 astronauts). RR 3.4 vs non-LD. Direct spaceflight analog. Very small event count; wide CI.,subagent-proposal,2026-05-25T00:00:00Z
hip-proximal-femur-fracture,analog,NASA/HSRB-2021,sibonga_2022,2053897,5,NASA LSAH hip fx. Non-LD <90 days cumulative. 5 hip fx in 5626 py (232 astronauts). Baseline astronaut hip fx rate.,subagent-proposal,2026-05-25T00:00:00Z
hip-proximal-femur-fracture,analog,NASA/HSRB-2021,sibonga_2022,611794,0,NASA LSAH hip fx. No-spaceflight period. Zero observed hip fx in 1675 py (262 astronauts). Censored count; true rate near zero given young healthy cohort.,subagent-proposal,2026-05-25T00:00:00Z
hip-proximal-femur-fracture,general-pop,10.1002/jbmr.2080,amin_2014,36525000,EST:60,Back-calculated from US population-based hip fracture incidence for men age 45-55 (~60 per 100000 py; Amin 2014 / Farr 2017 cited in NASA HSRB). Astronauts are healthier than general population (healthy worker effect); this likely overestimates risk. Not a direct analog. TierC fallback.,subagent-proposal,2026-05-25T00:00:00Z
lumbar-spine-fracture,analog,NASA/HSRB-2021,sibonga_2022,137699,3,NASA LSAH spine (thoracic+lumbar) fx. LD >90 days. 3 spine fx in 377 py. RR 3.4 for LD vs non-LD. Direct spaceflight analog. Includes thoracic; no pure lumbar count available. Very small event count; wide CI.,subagent-proposal,2026-05-25T00:00:00Z
