condition_id,mission_type,study_doi,study_slug,person_days,events,notes,extracted_by,extracted_at_utc
back-pain-space-adaptation,terrestrial-population,10.1016/S2665-9913(23)00098-X,GBD-2021-LBP-lancet-rheumatol,36500000,3676,"GBD 2021 ASIR 3675.9/100k/yr (95% UI 2862–5619); 100k×365d=36.5M PD; working-age peak; screened healthy astronaut-age would be lower",subagent-proposal,2026-05-25T00:00:00Z
constipation-space-adaptation,terrestrial-population,10.1007/BF02554713,sonnenberg-koch-1989-US-constipation,36500000,1460,"EST: NHIS self-reported constipation prevalence 2% but annual incidence of new functional constipation episodes ~4% in adults (Pare 2001 Rome II; Palsson 2020); 4%×100k=4000 would be prevalence-biased; conservative 1460 = physician-visit incidence ~4/1000/yr per Sonnenberg & Koch NHDS data",subagent-proposal,2026-05-25T00:00:00Z
fingernail-delamination,terrestrial-population,NA,medscape-onycholysis-epidemiology,36500000,73,"Worldwide incidence unknown per Medscape; onycholysis ~0.3% in dermatology clinic populations; traumatic onycholysis in manual workers estimated ~200/100k/yr; conservative 73 events = 2/100k/yr for screened healthy non-manual-labor adults; LOW CONFIDENCE — consider Thompson 2010 EVA rate 0.046/py as space-specific alternative",subagent-proposal,2026-05-25T00:00:00Z
headache-space-adaptation,terrestrial-population,10.1007/s10194-013-0541-y,ferrante-2013-PACE-TTH-prevalence,36500000,1420,"TTH incidence 14.2/1000 PY from Medlink 12-yr follow-up longitudinal study; TTH prevalence 42% globally (Ferrante 2013 PACE); 1420 events = 14.2/1000 × 100k; denominator = 100k×365d",subagent-proposal,2026-05-25T00:00:00Z
insomnia-space-adaptation,terrestrial-population,10.1016/j.sleep.2022.05.021,morin-2022-insomnia-epidemiology,36500000,3900,"Annual incidence of new insomnia disorder ~3.9% (Morphy 2007 longitudinal; Morin 2022 review: 10% prevalence with 40% 5-yr persistence); 3900=3.9%×100k; chronic insomnia 8–12% prevalence; screened healthy adults likely lower",subagent-proposal,2026-05-25T00:00:00Z
nasal-congestion-space-adaptation,terrestrial-population,10.2500/ajra.2009.23.s1.s2,Stewart-2010-nasal-congestion-burden,36500000,2500,"Dutch GP visit incidence: 20/1000 men + 33.8/1000 women → ~25/1000 mean for acute rhinosinusitis; AR prevalence 9–42%; 2500=25/1000×100k; denominator=100k×365d",subagent-proposal,2026-05-25T00:00:00Z
nose-bleed-space-adaptation,terrestrial-population,10.1016/j.annemergmed.2004.12.019,pallin-2005-US-ED-epistaxis,36500000,170,"1.7/1000 population annual ED visits for epistaxis (Pallin 2005 NHAMCS 1992–2001); inpatient 42/100k men 28/100k women; 170=1.7/1000×100k; lifetime prevalence 60% but most episodes self-limited not medically attended",subagent-proposal,2026-05-25T00:00:00Z
paresthesias,terrestrial-population,10.1212/WNL.43.4.817,dyck-1993-rochester-PN-incidence,36500000,250,"Peripheral neuropathy incidence ~46/100k/yr (Dyck 1993 Rochester); but paresthesias broader — includes CTS ~1–3/1000/yr (AAFP 2020); combined estimate 250/100k/yr for healthy working-age non-diabetic adults; screened astronaut-age even lower",subagent-proposal,2026-05-25T00:00:00Z
space-motion-sickness-space-adaptation,terrestrial-population,NA,medscape-2024-motion-sickness-epidemiology,36500000,365,"EXPOSURE-DEPENDENT not spontaneous: 3–60% prevalence in transport depending on conditions; 28% susceptibility (Sharma 1998); reframed as ~1 medically-significant episode/yr in susceptible individuals → 1%/yr conservative for general population = 365 events; denominator problematic — condition requires provocative stimulus",subagent-proposal,2026-05-25T00:00:00Z
urinary-incontinence-space-adaptation,terrestrial-population,10.3390/ijerph19031098,fernandez-lopez-2022-spain-UI-incidence,36500000,185,"IR 1.85/1000 PY general population (Fernandez-Lopez 2022 Spanish primary care cohort 1997–2018; 44250 events); elderly higher 25–39/1000 PY (SABE Brazil); astronaut-age healthy adults ≤1.85/1000; 185=1.85/1000×100k",subagent-proposal,2026-05-25T00:00:00Z
urinary-retention-space-adaptation,terrestrial-population,10.1016/S0022-5347(05)68563-1,jacobsen-1999-HPFS-AUR,36500000,50,"4.5/1000 PY in men 45–83 (Jacobsen 1999 Health Professionals Follow-up); neurogenic AUR 1:30k–1:100k; for younger mixed-sex screened adults ~0.5/1000/yr conservative; 50=0.5/1000×100k; almost exclusively male; BPH main driver",subagent-proposal,2026-05-25T00:00:00Z
