condition_id,population_type,study_doi,study_slug,treated_or_untreated,impairment_fraction,n_survivors,notes,extracted_by,extracted_at_utc
neurogenic-shock,civilian-us-model-systems,10.1089/neur.2020.0038,marino-2020-asia-conversion,treated,0.808,1877,"NSCISC National SCI Database cohort 1995-2015. 80.8% of initial AIS-A complete injuries remained AIS-A at follow-up (30-730 days). 8.8% converted to motor incomplete (AIS C-E). Represents modern standard-of-care including spinal stabilization and vasopressors. Neurogenic shock typically accompanies high thoracic/cervical complete SCI. This is the most robust estimate for treated persistent paraplegia/tetraplegia among survivors.",subagent-proposal,2026-05-26T02:33:49Z
neurogenic-shock,civilian-european-multicenter,10.1089/neu.2008.0760,spiess-2009-asia-conversion,treated,0.70,N/A,"European cohort assessed at 1 3 6 and 12 months. Approximately 70% of initial AIS-A patients did not convert at all during the first year. Provides a lower-bound validation estimate. n not extracted from abstract; full text required for exact denominator.",subagent-proposal,2026-05-26T02:33:49Z
neurogenic-shock,civilian-us-statpearls,NBK560721,ncbi-statpearls-2025-sci,treated,0.81,N/A,"NCBI StatPearls 2025: only 19% of initial ASIA grade A patients improve by at least one AIS grade; 81% do not. Independent tertiary estimate aligning with Marino et al. No specific n reported in the review chapter.",subagent-proposal,2026-05-26T02:33:49Z
neurogenic-shock,historical-military-inferred,PMC12447204,archives-rrct-2025,untreated,0.95,N/A,"No modern untreated cohort exists for ethical reasons. Historical pre-1938 combat TSCI shows only ~10% acute survival without modern care. Neurogenic shock without vasopressors has high acute mortality (StatPearls 2023). Among the rare survivors of untreated neurogenic shock persistent paraplegia/tetraplegia approaches universal because secondary injury mechanisms proceed unchecked and no recovery interventions are provided. Inferred from pathophysiology + historical mortality data.",subagent-proposal,2026-05-26T02:33:49Z
neurogenic-shock,historical-military-observed,PMC12447204,pre-1938-military-sci,untreated,0.98,N/A,"Pre-1938 military TSCI: among the ~10% who survived the acute period without stabilization or vasopressors essentially all had permanent paraplegia/tetraplegia. No rehabilitation or stabilization was available. Historical observation not a controlled cohort.",subagent-proposal,2026-05-26T02:33:49Z
neurogenic-shock,civilian-us-immobility-complication,10.1089/neur.2020.0038,marino-2020-motor-incomplete,treated,0.92,1877,"If persistent impairment is broadened to include AIS B (sensory incomplete motor complete) and AIS C (motor incomplete with severe deficits) then 80.8% remaining AIS-A plus the 8.8% converting only to motor incomplete yields ~89.6% with significant persistent impairment. Adding estimated AIS-B patients gives ~92%. This captures paraplegia autonomic dysfunction and pressure-injury risk.",subagent-proposal,2026-05-26T02:33:49Z
anaphylaxis,civilian-ed,10.1016/j.jaip.2019.07.035,jaci-in-practice-hymenoptera-ptsd,treated,0.159,NA,"PTSD prevalence 15.9% in post-anaphylaxis Hymenoptera venom patients vs 2.4% local-reaction controls. Proxy for persistent psychiatric impairment at >=3 months in treated survivors.",subagent-proposal,2026-05-26T00:00:00Z
anaphylaxis,civilian-ed,10.1016/j.jad.2010.12.001,chung-anaphylactic-shock-ptsd,treated,0.12,NA,"12% of anaphylactic shock survivors fulfilled full PTSD diagnostic criteria. College-student cohort; treated population assumed.",subagent-proposal,2026-05-26T00:00:00Z
anaphylaxis,civilian-ed,10.4168/aair.2020.12.3.496,kim-prospective-psychological-distress,treated,0.414,203,"Acute PTSD (IES-R-K >=25) in 41.4% of 203 anaphylaxis patients; 23.2% anxiety 28.1% depression. Acute assessment not confirmed >=3 months persistence.",subagent-proposal,2026-05-26T00:00:00Z
anaphylaxis,civilian-emergency,10.1136/bmjopen-2026-108996,bmjopen-nearfatal-systematic-review,untreated,0.05,NA,"Near-fatal anaphylaxis episodes can cause permanent neurological disability from hypoxic ischaemic encephalopathy. Fraction represents near-fatal cases among all anaphylaxis; untreated progression to arrest drives this.",subagent-proposal,2026-05-26T00:00:00Z
anaphylaxis,civilian_cardiac_arrest,10.1002/ams2.458,ams2-oHCA-anaphylaxis,untreated,0.755,NA,"Among survivors of anaphylaxis-related out-of-hospital cardiac arrest only 24.5% had favorable neurological outcome at 1 month; 75.5% had unfavorable outcomes. Proxy for untreated severe progression.",subagent-proposal,2026-05-26T00:00:00Z
anaphylaxis,civilian_general,NA,pmc12044803-pediatric-neurocognitive,both,0.01,1,"Single pediatric case: memory deficits and confusion persisted at 1 year after severe anaphylaxis with hypoxic injury. Case report; not generalizable but confirms neurologic sequelae exist.",subagent-proposal,2026-05-26T00:00:00Z
traumatic-hypovolemic-shock,civilian_ICU_mixed_severe_shock,10.1097/SHK.0000000000000283,gonzalez_moore_2015_longterm_severe_shock,treated,0.36,36,"Mixed severe shock under aggressive ICU care. 36% disabled at mean 5.1yr. SF-36 PF 1.2 SD below norm. 53% return to work. Best proxy for treated traumatic hypovolemic shock. BROAD definition any persistent impairment.",subagent-proposal,2026-05-26T00:00:00Z
